rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
"PROPN(PUNCT/punct, *, PROPN/flat:name, PUNCT/punct)",0.005187239465960535,0.016394412411794047,0.017479896300535484,0.02412483758976713,-0.011207172945833514,0.011207172945833514,472,1769,2241,8.7569573283859,32.813949174550174,11197043.0,7.520971409190899e-186,-0.5320023382192756,True,True,llm
"ADV(*, PRON/obl, PUNCT/punct)",0.0005187332908919437,0.01153886330600249,0.0058087391054754975,0.025733249484907576,-0.011020130015110548,0.011020130015110548,47,930,977,0.8719851576994434,17.250973845297718,12141831.5,2.168437127555054e-193,-0.5907657706501982,True,True,llm
"VERB(NOUN/nsubj, *, NOUN/obj, VERB/advcl, PUNCT/punct)",0.0026065237226237234,0.013194899776272266,0.014447269253031352,0.025530010162035374,-0.010588376053648544,0.010588376053648544,189,1181,1370,3.5064935064935066,21.90688184010388,11899052.0,4.761560051949644e-174,-0.510466979250166,True,True,llm
"VERB(PUNCT/punct, *, NOUN/obj, NOUN/obl)",0.0016094797698329635,0.011848860345391479,0.011042281715301647,0.025165186792439714,-0.010239380575558515,0.010239380575558515,123,1017,1140,2.282003710575139,18.864774624373958,12134458.0,1.2067091173299448e-169,-0.5269292909110269,True,True,llm
"ADJ(*, ADJ/conj)",0.005723498329170483,0.01584517162995382,0.01724762140679313,0.02331086144049477,-0.010121673300783337,0.010121673300783337,590,1770,2360,10.946196660482375,32.832498608792434,11418382.0,5.70855489296389e-156,-0.49362955302276995,True,True,llm
"NOUN(DET/det, *, VERB/acl)",0.010252736024161177,0.020021902960315613,0.019925767258409725,0.020455212998609168,-0.009769166936154436,0.009769166936154436,1231,2742,3973,22.838589981447125,50.86254869226489,10908011.5,5.6686720776276256e-148,-0.48380833236651843,True,True,llm
"NOUN(ADP/case, *, ADJ/amod, NOUN/nmod)",0.0029840334299694733,0.012631664530740628,0.014336808738662325,0.02480163545230211,-0.009647631100771154,0.009647631100771154,242,1151,1393,4.489795918367347,21.350398812836207,12113781.0,5.0100111862563094e-145,-0.4762693967195591,True,True,llm
"NOUN(ADP/case, DET/det, *, ADJ/amod, NOUN/nmod)",0.006637193105129466,0.016029466980558297,0.01920348358264934,0.023581461878137824,-0.00939227387542883,0.00939227387542883,638,1774,2412,11.83673469387755,32.90669634576145,11613034.0,4.498487029370431e-135,-0.4367651242813202,True,True,llm
"ADJ(CCONJ/cc, *)",0.0075321885894032966,0.016917537766870782,0.0187190149213911,0.022110976335454047,-0.009385349177467486,0.009385349177467486,822,2064,2886,15.250463821892394,38.28603227601558,11351361.0,1.6978507287000933e-140,-0.4581499575806578,True,True,llm
"NOUN(ADP/case, ADJ/amod, *)",0.005476917939613504,0.014796156837375805,0.01769122286059542,0.023891167051375152,-0.009319238897762303,0.009319238897762303,522,1553,2075,9.684601113172542,28.807271378222964,11820164.0,4.177673364034116e-131,-0.4433293621287345,True,True,llm
"VERB(SCONJ/mark, NOUN/nsubj, *, VERB/xcomp)",0.003626521866923524,0.0129340789433489,0.016926913371399777,0.025644957402378637,-0.009307557076425377,0.009307557076425377,275,1141,1416,5.1020408163265305,21.164904470413653,12246289.0,5.749357858817608e-128,-0.42837324011036276,True,True,llm
"NOUN(DET/det, *, PROPN/nmod, PROPN/appos)",0.002350497717519105,0.011601809770965019,0.013433481614239058,0.024756348715944343,-0.009251312053445914,0.009251312053445914,170,999,1169,3.1539888682745825,18.530884808013354,12330990.0,3.8764303333048804e-140,-0.4645045343308279,True,True,llm
"NOUN(CCONJ/cc, *, NOUN/nmod)",0.005772044908103892,0.01457259099323691,0.01835231148096078,0.023515938958762417,-0.008800546085133018,0.008800546085133018,530,1553,2083,9.833024118738404,28.807271378222964,11894210.0,9.057061667175124e-124,-0.4172312012629118,True,True,llm
"NOUN(ADP/case, DET/det, *, ADJ/amod)",0.015559015717683164,0.024352704057018403,0.0178605992231656,0.01085817517088876,-0.00879368833933524,0.00879368833933524,2543,4693,7236,47.17996289424861,87.05249489890558,10711163.0,6.871011324796197e-128,-0.5949693062840162,True,True,llm
"VERB(ADP/mark, *, NOUN/obj)",0.014801529981150259,0.02358258404152966,0.018756462706991876,0.013371346641345013,-0.0087810540603794,0.0087810540603794,2264,4253,6517,42.003710575139145,78.89074383231312,10840052.0,7.899697094228928e-123,-0.5391119077308942,True,True,llm
"ADP(*, DET/fixed)",0.004568701035871773,0.013298710630230217,0.01742043549358585,0.024217179972116514,-0.008730009594358445,0.008730009594358445,379,1301,1680,7.031539888682746,24.13281394917455,12128805.0,1.9678898349633412e-122,-0.4138553089939507,True,True,llm
"NOUN(DET/det, *, ADJ/amod, VERB/acl)",0.0023899837664074714,0.011015946869280865,0.013143292211325335,0.024332998612152504,-0.008625963102873394,0.008625963102873394,191,948,1139,3.543599257884972,17.584863661658318,12501393.5,2.6968430330675275e-122,-0.44109996913431776,True,True,llm
"VERB(NOUN/nsubj, *, NOUN/obj, PUNCT/punct)",0.008034589681829539,0.016526697467191948,0.022163035558805576,0.023170423908086362,-0.00849210778536241,0.00849210778536241,729,1902,2631,13.52504638218924,35.281023928770175,11661405.5,1.3722175516842777e-122,-0.37455830354353553,True,True,llm
"NOUN(ADP/case, *, ADJ/amod, PUNCT/punct)",0.0006645127249282358,0.009036392573884723,0.007912491192229136,0.02595445992381506,-0.008371879848956487,0.008371879848956487,41,614,655,0.7606679035250464,11.389352624744946,12987171.5,1.704705053402306e-117,-0.4363428216760389,True,True,llm
"NOUN(ADJ/amod, *)",0.0052392292507347105,0.013563627583838783,0.01740453076032923,0.024170082044954307,-0.008324398333104072,0.008324398333104072,494,1345,1839,9.165120593692022,24.948989055833795,12260457.0,8.195791328981388e-102,-0.39525646084314126,True,True,llm
"VERB(PUNCT/punct, *, NOUN/obl, PUNCT/punct)",0.001742452569656428,0.009658095152164743,0.01197757650681418,0.02445363211618436,-0.007915642582508315,0.007915642582508315,125,758,883,2.3191094619666046,14.060471155629754,12828944.5,1.9380829730861342e-108,-0.41111417064085193,True,True,llm
"NOUN(CCONJ/cc, DET/det, *, NOUN/nmod)",0.003940849006506331,0.011821616127755685,0.016130219823122252,0.023792062718412506,-0.007880767121249355,0.007880767121249355,336,1109,1445,6.233766233766234,20.571322574661473,12473195.0,2.1686957106584266e-102,-0.38772940968351965,True,True,llm
"NOUN(*, ADJ/amod, VERB/acl)",0.0015877317767108196,0.009292414194621661,0.012073212859512057,0.02452828503744971,-0.007704682417910842,0.007704682417910842,100,706,806,1.8552875695732838,13.095900575032461,12910315.0,6.142270058481533e-107,-0.39855972931249434,True,True,llm
"PROPN(CCONJ/cc, *)",0.006723643399298289,0.014273166525870249,0.019802507678357707,0.02277632223994704,-0.007549523126571959,0.007549523126571959,612,1572,2184,11.354359925788497,29.15971062882582,12134084.0,6.619845462146047e-99,-0.35375218194069635,True,True,llm
