rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
"VERB(PRON/obj, *)",0.0042491947367072755,0.002743640238619623,0.019576803632677116,0.01434258832962337,0.0015055544980876524,0.0015055544980876524,264,197,461,4.8979591836734695,3.6542385457243554,14717486.0,0.0008612468261832921,0.08773405046949793,True,True,human
"NOUN(ADP/case, DET/det, *, PRON/nmod)",0.0033599306831445424,0.001860619143557556,0.01853901973896983,0.012717345942349845,0.0014993115395869863,0.0014993115395869863,187,117,304,3.4693877551020407,2.1702838063439067,14720273.0,3.5714638128127634e-05,0.0943144054777257,True,True,human
"NOUN(ADP/case, *)",0.023090320779269577,0.021604719819583992,0.012837432177527109,0.005698954985461931,0.0014856009596855846,0.0014856009596855846,4557,5278,9835,84.54545454545455,97.90391393062512,17772131.5,1.1105467798969442e-89,0.14958157885973122,True,True,human
"VERB(*, PRON/obj)",0.0035209239992787175,0.002041086881572514,0.018579114240789407,0.013014486859996975,0.0014798371177062036,0.0014798371177062036,207,134,341,3.8404452690166977,2.485624188462252,14728186.5,4.677132909520226e-05,0.09225942704817126,True,True,human
"CCONJ(PUNCT/punct, *, AUX/fixed, PUNCT/punct)",0.0015754346802654112,0.0001061337641392273,0.014116693112145223,0.003512944190696459,0.0014693009161261838,0.0014693009161261838,72,5,77,1.3358070500927643,0.09274717121127805,14709354.0,1.8095265576578215e-14,0.14283858649485667,True,True,human
"DET(*, NOUN/fixed)",0.001634759688776999,0.0001826420095752534,0.014716092339082916,0.0042875819354273,0.0014521176792017456,0.0014521176792017456,73,10,83,1.3543599257884973,0.1854943424225561,14698712.5,3.696425006118917e-12,0.13397757287809028,True,True,human
"NOUN(DET/det, *, PUNCT/punct)",0.002260184346658183,0.0008098370957117414,0.017318786991647954,0.008670663287509867,0.0014503472509464418,0.0014503472509464418,100,48,148,1.8552875695732838,0.8903728436282693,14670122.0,1.4167336354437551e-05,0.10590133376547588,True,True,human
"VERB(*, VERB/ccomp, PUNCT/punct)",0.0032537375799933147,0.0018357355100883845,0.018664684620065063,0.01224566120770081,0.0014180020699049302,0.0014180020699049302,181,123,304,3.358070500927644,2.28158041179744,14688764.0,0.0005532548801158246,0.08983277116968633,True,True,human
"VERB(CCONJ/cc, NOUN/nsubj, *, VERB/xcomp)",0.001993863188945312,0.0005797135975284605,0.016111177475262008,0.008287687249930942,0.0014141495914168514,0.0014141495914168514,89,28,117,1.6512059369202226,0.5193841587831571,14693433.5,1.3508324112214834e-08,0.11038349640689078,True,True,human
*(INTJ),0.0015097369585334464,0.00010512986910866686,0.014908618367206954,0.003238249372038921,0.0014046070894247796,0.0014046070894247796,60,6,66,1.1131725417439704,0.11129660545353366,14674407.0,2.515942846266527e-11,0.13020332063142243,True,True,human
"VERB(*, PROPN/nsubj, PUNCT/punct)",0.0015594570167558914,0.00017091619057257214,0.015032096559316187,0.004448608854826913,0.0013885408261833192,0.0013885408261833192,62,8,70,1.150278293135436,0.1483954739380449,14674374.0,9.250039185465532e-11,0.12526314503128605,True,True,human
"ADV(ADV/advmod, *, ADP/fixed)",0.0015074190013573852,0.00012606126914555929,0.014662025162900256,0.003519318259304683,0.0013813577322118258,0.0013813577322118258,60,7,67,1.1131725417439704,0.12984603969578928,14671753.0,7.92106516231354e-11,0.1295578027249733,True,True,human
"PRON(ADP/case, DET/det, *)",0.0025097286696097805,0.0011300175547832845,0.016341398644056083,0.010122170486506956,0.001379711114826496,0.001379711114826496,136,69,205,2.523191094619666,1.279910962715637,14710428.0,2.0051497603162124e-06,0.10150703633913682,True,True,human
"NOUN(ADP/case, DET/det, *, ADJ/nmod)",0.001565680553650975,0.00019990257439585194,0.014977110220965447,0.004696407670687704,0.001365777979255123,0.001365777979255123,63,10,73,1.1688311688311688,0.1854943424225561,14671759.5,4.6295040183701616e-10,0.12305552728252969,True,True,human
